fpr,tpr
0.0,0.0
0.0,0.011111111111111112
0.0,0.2222222222222222
0.001098901098901099,0.2222222222222222
0.001098901098901099,0.5666666666666667
0.002197802197802198,0.5666666666666667
0.002197802197802198,0.5888888888888889
0.0032967032967032967,0.5888888888888889
0.0032967032967032967,0.6
0.004395604395604396,0.6
0.004395604395604396,0.6222222222222222
0.007692307692307693,0.6222222222222222
0.007692307692307693,0.6333333333333333
0.00989010989010989,0.6333333333333333
0.00989010989010989,0.6444444444444445
0.012087912087912088,0.6444444444444445
0.012087912087912088,0.6555555555555556
0.013186813186813187,0.6555555555555556
0.013186813186813187,0.6666666666666666
0.014285714285714285,0.6666666666666666
0.014285714285714285,0.7
0.01868131868131868,0.7
0.01868131868131868,0.7111111111111111
0.01978021978021978,0.7111111111111111
0.01978021978021978,0.7222222222222222
0.023076923076923078,0.7222222222222222
0.023076923076923078,0.7555555555555555
0.024175824175824177,0.7555555555555555
0.024175824175824177,0.7666666666666667
0.03076923076923077,0.7666666666666667
0.03076923076923077,0.7777777777777778
0.035164835164835165,0.7777777777777778
0.035164835164835165,0.7888888888888889
0.03736263736263736,0.7888888888888889
0.03736263736263736,0.8
0.04065934065934066,0.8
0.04065934065934066,0.8111111111111111
0.046153846153846156,0.8111111111111111
0.046153846153846156,0.8333333333333334
0.04945054945054945,0.8333333333333334
0.04945054945054945,0.8444444444444444
0.05274725274725275,0.8444444444444444
0.05274725274725275,0.8555555555555555
0.06153846153846154,0.8555555555555555
0.06153846153846154,0.8666666666666667
0.06263736263736264,0.8666666666666667
0.06263736263736264,0.8777777777777778
0.06593406593406594,0.8777777777777778
0.06593406593406594,0.8888888888888888
0.06703296703296703,0.8888888888888888
0.06703296703296703,0.9
0.11648351648351649,0.9
0.11648351648351649,0.9111111111111111
0.13626373626373625,0.9111111111111111
0.13626373626373625,0.9222222222222223
0.14395604395604394,0.9222222222222223
0.14395604395604394,0.9333333333333333
0.17912087912087912,0.9333333333333333
0.17912087912087912,0.9444444444444444
0.21428571428571427,0.9444444444444444
0.21428571428571427,0.9555555555555556
0.23406593406593407,0.9555555555555556
0.23406593406593407,0.9666666666666667
0.32857142857142857,0.9666666666666667
0.32857142857142857,0.9777777777777777
0.38461538461538464,0.9777777777777777
0.38461538461538464,0.9888888888888889
0.432967032967033,0.9888888888888889
0.432967032967033,1.0
0.7131868131868132,1.0
0.7153846153846154,1.0
0.743956043956044,1.0
0.7461538461538462,1.0
0.7714285714285715,1.0
0.7736263736263737,1.0
0.7879120879120879,1.0
0.7901098901098901,1.0
0.8032967032967033,1.0
0.8054945054945055,1.0
0.8285714285714286,1.0
0.8307692307692308,1.0
0.8384615384615385,1.0
0.8406593406593407,1.0
0.8461538461538461,1.0
0.8549450549450549,1.0
0.8604395604395605,1.0
0.8626373626373627,1.0
0.8637362637362638,1.0
0.865934065934066,1.0
0.8681318681318682,1.0
0.8714285714285714,1.0
0.8736263736263736,1.0
0.8758241758241758,1.0
0.8824175824175824,1.0
0.8879120879120879,1.0
0.8956043956043956,1.0
0.8978021978021978,1.0
0.9120879120879121,1.0
0.9142857142857143,1.0
0.9175824175824175,1.0
0.9263736263736264,1.0
0.9307692307692308,1.0
0.9340659340659341,1.0
0.9351648351648352,1.0
0.9527472527472527,1.0
0.9538461538461539,1.0
0.9560439560439561,1.0
0.9571428571428572,1.0
0.9648351648351648,1.0
0.9659340659340659,1.0
0.9692307692307692,1.0
0.9703296703296703,1.0
0.9736263736263736,1.0
0.9758241758241758,1.0
0.978021978021978,1.0
0.9802197802197802,1.0
1.0,1.0
